"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","ELDLYPOP","TOT","PC_POP","A","1950",8.11253622213799,
"AUS","ELDLYPOP","TOT","PC_POP","A","1951",8.11831340465702,
"AUS","ELDLYPOP","TOT","PC_POP","A","1952",8.13523996989521,
"AUS","ELDLYPOP","TOT","PC_POP","A","1953",8.22887479722755,
"AUS","ELDLYPOP","TOT","PC_POP","A","1954",8.32248372558838,
"AUS","ELDLYPOP","TOT","PC_POP","A","1955",8.38288205050165,
"AUS","ELDLYPOP","TOT","PC_POP","A","1956",8.42289533711739,
"AUS","ELDLYPOP","TOT","PC_POP","A","1957",8.4728532603058,
"AUS","ELDLYPOP","TOT","PC_POP","A","1958",8.51418353247175,
"AUS","ELDLYPOP","TOT","PC_POP","A","1959",8.51696432122827,
"AUS","ELDLYPOP","TOT","PC_POP","A","1960",8.51484184914842,
"AUS","ELDLYPOP","TOT","PC_POP","A","1961",8.51335147789345,
"AUS","ELDLYPOP","TOT","PC_POP","A","1962",8.53791878884164,
"AUS","ELDLYPOP","TOT","PC_POP","A","1963",8.5542179721094,
"AUS","ELDLYPOP","TOT","PC_POP","A","1964",8.52485253920299,
"AUS","ELDLYPOP","TOT","PC_POP","A","1965",8.52048779197418,
"AUS","ELDLYPOP","TOT","PC_POP","A","1966",8.50266106343568,
"AUS","ELDLYPOP","TOT","PC_POP","A","1967",8.47188229453183,
"AUS","ELDLYPOP","TOT","PC_POP","A","1968",8.44400716650977,
"AUS","ELDLYPOP","TOT","PC_POP","A","1969",8.37228107217361,
"AUS","ELDLYPOP","TOT","PC_POP","A","1970",8.34507776188223,
"AUS","ELDLYPOP","TOT","PC_POP","A","1971",8.34430923379912,
"AUS","ELDLYPOP","TOT","PC_POP","A","1972",8.40600003126958,
"AUS","ELDLYPOP","TOT","PC_POP","A","1973",8.50594074377072,
"AUS","ELDLYPOP","TOT","PC_POP","A","1974",8.60741037521322,
"AUS","ELDLYPOP","TOT","PC_POP","A","1975",8.72071140887908,
"AUS","ELDLYPOP","TOT","PC_POP","A","1976",8.92766756955688,
"AUS","ELDLYPOP","TOT","PC_POP","A","1977",9.07244764989078,
"AUS","ELDLYPOP","TOT","PC_POP","A","1978",9.24011726235101,
"AUS","ELDLYPOP","TOT","PC_POP","A","1979",9.43616403971168,
"AUS","ELDLYPOP","TOT","PC_POP","A","1980",9.61716749155311,
"AUS","ELDLYPOP","TOT","PC_POP","A","1981",9.74987368711662,
"AUS","ELDLYPOP","TOT","PC_POP","A","1982",9.87054544094284,
"AUS","ELDLYPOP","TOT","PC_POP","A","1983",9.97669661529251,
"AUS","ELDLYPOP","TOT","PC_POP","A","1984",10.1017170696852,
"AUS","ELDLYPOP","TOT","PC_POP","A","1985",10.2672723974545,
"AUS","ELDLYPOP","TOT","PC_POP","A","1986",10.5011502433147,
"AUS","ELDLYPOP","TOT","PC_POP","A","1987",10.6941740940689,
"AUS","ELDLYPOP","TOT","PC_POP","A","1988",10.8357441893269,
"AUS","ELDLYPOP","TOT","PC_POP","A","1989",10.9816183922177,
"AUS","ELDLYPOP","TOT","PC_POP","A","1990",11.0950295831359,
"AUS","ELDLYPOP","TOT","PC_POP","A","1991",11.2862238889111,
"AUS","ELDLYPOP","TOT","PC_POP","A","1992",11.4531140446608,
"AUS","ELDLYPOP","TOT","PC_POP","A","1993",11.6397524713623,
"AUS","ELDLYPOP","TOT","PC_POP","A","1994",11.7931469141951,
"AUS","ELDLYPOP","TOT","PC_POP","A","1995",11.9038769595935,
"AUS","ELDLYPOP","TOT","PC_POP","A","1996",12.0289000128232,
"AUS","ELDLYPOP","TOT","PC_POP","A","1997",12.1424985467923,
"AUS","ELDLYPOP","TOT","PC_POP","A","1998",12.2450286936767,
"AUS","ELDLYPOP","TOT","PC_POP","A","1999",12.3410239192901,
"AUS","ELDLYPOP","TOT","PC_POP","A","2000",12.424639238981,
"AUS","ELDLYPOP","TOT","PC_POP","A","2001",12.5504930011625,
"AUS","ELDLYPOP","TOT","PC_POP","A","2002",12.6588172171523,
"AUS","ELDLYPOP","TOT","PC_POP","A","2003",12.7466179382647,
"AUS","ELDLYPOP","TOT","PC_POP","A","2004",12.8504275532464,
"AUS","ELDLYPOP","TOT","PC_POP","A","2005",12.9594549078141,
"AUS","ELDLYPOP","TOT","PC_POP","A","2006",13.0265924846777,
"AUS","ELDLYPOP","TOT","PC_POP","A","2007",13.1393300685023,
"AUS","ELDLYPOP","TOT","PC_POP","A","2008",13.201283493086,
"AUS","ELDLYPOP","TOT","PC_POP","A","2009",13.3257064364804,
"AUS","ELDLYPOP","TOT","PC_POP","A","2010",13.556231347941,
"AUS","ELDLYPOP","TOT","PC_POP","A","2011",13.8223262428008,
"AUS","ELDLYPOP","TOT","PC_POP","A","2012",14.1371014053511,
"AUS","ELDLYPOP","TOT","PC_POP","A","2013",14.3996862002975,
"AUS","ELDLYPOP","TOT","PC_POP","A","2014",14.6626087944778,
"AUS","ELDLYPOP","TOT","PC_POP","A","2015",14.924020600441,
"AUS","ELDLYPOP","TOT","PC_POP","A","2016",15.1802948107733,
"AUS","ELDLYPOP","TOT","PC_POP","A","2017",15.4087617765486,
"AUS","ELDLYPOP","TOT","PC_POP","A","2018",15.662746138446,
"AUS","ELDLYPOP","TOT","PC_POP","A","2019",15.927503804836,
"AUS","ELDLYPOP","TOT","PC_POP","A","2020",16.3234836141343,
"AUT","ELDLYPOP","TOT","PC_POP","A","1950",10.4425891479575,
"AUT","ELDLYPOP","TOT","PC_POP","A","1951",10.6134410004483,
"AUT","ELDLYPOP","TOT","PC_POP","A","1952",10.8543554839853,
"AUT","ELDLYPOP","TOT","PC_POP","A","1953",11.0624144336164,
"AUT","ELDLYPOP","TOT","PC_POP","A","1954",11.2560010800827,
"AUT","ELDLYPOP","TOT","PC_POP","A","1955",11.4134608533177,
"AUT","ELDLYPOP","TOT","PC_POP","A","1956",11.5667933718613,
"AUT","ELDLYPOP","TOT","PC_POP","A","1957",11.7224434599604,
"AUT","ELDLYPOP","TOT","PC_POP","A","1958",11.8783952389444,
"AUT","ELDLYPOP","TOT","PC_POP","A","1959",12.0550341864392,
"AUT","ELDLYPOP","TOT","PC_POP","A","1960",12.2235151873583,
